,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.247758635636488,3.275740073032371,0.7349572187359008,1.9653955716982843,3.5256058699047523,0.13118653637132316,-0.007257046591398815,0.7014419794425624,3.496477957854019,-221.35104094411318
0.5,2.8395551664932572,3.8731060271357585,1.3438332320973463,2.6005115548101534,4.202078843459492,0.42334279314602297,-0.004893461592998935,1.5957424595059622,3.8154821465556132,-218.8803746887812
0.841,3.4230871370190075,4.493469884304153,1.9812603492888128,3.229755667860025,4.891656360839566,0.8758301327028724,-0.0025710501541503193,2.515687595921656,4.170933668973826,-217.1403499739477
