,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.235442889944672,3.300578789098781,0.7430620026955409,1.947124878182563,3.5786945289463437,0.19927616573353876,-0.007338356103642959,0.7870381916327024,3.4547509099811715,-220.95077494270976
0.5,2.8082097258836214,3.909231332885266,1.3525543487370313,2.5706903060903974,4.242993842681296,0.6018890717751475,-0.00505032997793055,1.670584496870908,3.783953500123063,-218.53100640920402
0.841,3.388176147342174,4.510887391065597,1.9833166687489863,3.221678443510519,4.909393382143437,1.1357701776102687,-0.002756818268059423,2.559108196413726,4.1571784477331155,-216.80311867751595
