,k1,k2,k3,k4,per5,tc5,k5,dvdt,gamma_j,jit_j,gamma_harps-n,jit_harps-n,lnprobability
0.159,2.8308275356717307,3.0428217321938966,1.1099440225200128,2.4296048635117025,75.65784071442391,2459381.32529187,2.589363618311542,-0.005575824029183927,-0.49073512056628005,3.0850003642901616,1.9527916781634636,2.5349346972450353,-340.09758026501623
0.5,3.318862093166527,3.5171077760141713,1.5926014371774622,2.911801142378949,76.4130375833642,2459383.5638004723,3.1112783001789137,-0.003769220792999401,0.18053552938369632,3.3818549281965766,2.738633272936302,3.058820556201952,-337.197062675686
0.841,3.807624585033022,3.9970350117167435,2.0924628083239405,3.4068079976651906,77.18371102968031,2459385.746234248,3.639768007819007,-0.0020022273922519294,0.8538767352872066,3.7174173532459265,3.516078761688017,3.692280889678187,-335.0347655632346
