,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.256075756273562,3.202843234216205,0.6253622203072764,2.0013860215126313,3.5338584770905666,1.3307844757043201e-08,-0.007486017003572881,0.7905628080774423,3.4842398915713093,-221.18785378192078
0.5,2.8568523224184155,3.8243412830032666,1.2198452935454336,2.639861189120343,4.232484695806479,5.899365213921659e-05,-0.005122670471863456,1.7012538605600018,3.8100160349654137,-218.71900850013023
0.841,3.461401839590151,4.443735990432198,1.85115736338192,3.2780582601045696,4.913049456906259,0.06554012578333714,-0.002735734235780574,2.6172897532197847,4.175220478309497,-216.96192409253993
