,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.2645488312238773,3.2067378128373822,0.621618344084037,2.001810095692083,3.5371257879231965,3.8377155064655444e-09,-0.00744634296189446,0.764397956054643,3.4836177599182263,-221.16384503474984
0.5,2.8560102080975005,3.8308667720147707,1.2233617759806783,2.642065540486601,4.23047862019687,4.688011800504372e-05,-0.005061530469253131,1.6850348454625497,3.8110235234597427,-218.70105468004633
0.841,3.4509365945861803,4.4539066983968,1.8482023158119125,3.270589886892492,4.928507807356751,0.06440687683945572,-0.0026926476930012656,2.597809209425842,4.180602325664367,-216.95291224282636
