,secosw1,sesinw1,k1,secosw2,sesinw2,k2,secosw3,sesinw3,k3,secosw4,sesinw4,k4,dvdt,gamma_j,jit_j,lnprobability
0.159,-0.1471025648380163,-0.5821028508201405,0.4665536696333231,-0.2859105534607315,-0.0639590444378541,0.2002112001997096,-0.7558482789627332,-0.7321352693944931,0.22474187059642325,-0.21661594336890072,-0.23175349063446843,0.2750375858256558,-0.008240635854644908,0.05621289274786223,5.776983312847317,-283.67287968316526
0.5,0.6004108767899209,-0.054292125195043686,1.6919090937251564,-0.04411085663230982,0.0002042794110873533,0.697579038140526,-0.10439613323745707,-0.20963472483358458,0.8317854234184043,0.004044654183221041,-0.01728247251407511,0.8402292678786812,-0.004544050544879023,1.3974582608204638,6.28652733390595,-281.27878407666213
0.841,0.8911366848515158,0.5136893613607485,4.581974278499053,0.2306273745132908,0.07058685284166716,1.5259093586903179,0.5459587834170303,0.46668225941084407,2.347158219017567,0.2225070044802227,0.21006487626608938,1.6167766782968378,-0.0006486042333561244,2.699547493428336,6.844995663116537,-279.48293972825786
