,mpsini1,a1,musini1,mpsini2,a2,musini2,mpsini3,a3,musini3,mpsini4,a4,musini4,mpsini5,a5,musini5,mpsini6,a6,musini6
0.159,6.651970972147138,0.046880745054569704,2.3913882684996373e-05,7.3588372900471315,0.05779782588736695,2.6490832435420798e-05,2.978525303128983,0.12453236943767029,1.0598328122724593e-05,12.426664805409107,0.19979841345503732,4.473538367478894e-05,23.82442215189859,0.3654444591834659,8.58325192911237e-05,3.8459950962526764e-13,0.15773830142612036,1.3613773132014361e-18
0.5,8.166886809547591,0.04929204068681886,2.8837966340817954e-05,8.943133919436264,0.06077059663538481,3.1561118382675656e-05,5.265393207253585,0.1309377372194038,1.8608570601179413e-05,15.349928976179507,0.21007511805944806,5.4168458421665585e-05,28.577787515981047,0.38424137303259787,0.00010066495062405659,3.305508219640416e-12,0.1658515735073598,1.16702188665537e-17
0.841,9.748576091659494,0.05148278635801541,3.369285846097124e-05,10.621351826683524,0.06347144893943601,3.672507327018701e-05,7.6461240845424365,0.13675721683113976,2.6764282631843693e-05,18.448791836028644,0.21941150319108704,6.387352498053999e-05,33.69870081723563,0.40131798081368464,0.00011634810155676178,3.2494305628365994e-11,0.1732228754519207,1.1462681389941731e-16
