,secosw1,sesinw1,k1,secosw2,sesinw2,k2,secosw3,sesinw3,k3,secosw4,sesinw4,k4,secosw5,sesinw5,k5,secosw6,sesinw6,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,-0.4730400486339258,-0.0019498136639233025,3.090095152762303,-0.037446232140173535,-0.20624631193190002,2.998788117807016,-0.2182836526454443,-0.6491484304230036,0.7168467328880346,-0.5399033154805108,-0.34838275273735614,2.818430956048925,-0.11856300664153023,-0.4055073592421388,3.749289148302645,-0.3508846980763215,-0.37275639860656085,0.05983419476680725,-0.006661503696992706,0.6800591977526224,2.8660399162715433,-204.37386919501702
0.5,-0.4456548256709214,-8.874706699971973e-06,3.7138883719257088,0.1614913198580048,0.06934397431689365,3.559058024441754,0.11825428554976586,-0.1997215698286774,1.3710397887403787,-0.48077846890256304,-0.19431382720977367,3.4118013141642645,-0.011706645968985536,-0.186411068035144,4.427512462331112,-0.022574818133846986,-0.0492866296924408,0.22606242991526607,-0.0045671584032738535,1.5214679649761753,3.182678202325582,-200.44307780223602
0.841,-0.38086409187110865,0.0024038527423166536,4.319612348423638,0.31799862670150997,0.311678594343374,4.114734160655467,0.27785608290736885,0.33802158636026336,2.0555078307288364,-0.39227896641027366,0.035894552991393956,4.011238702440024,0.1318695855074769,0.09371285916334576,5.1203921850091785,0.35471518252754525,0.2991597753724805,0.6066603541579773,-0.0024280672897350275,2.3526055713379317,3.5473883232109995,-197.22084767920774
