,mpsini1,a1,musini1,mpsini2,a2,musini2
0.159,9.411984313148727,0.21792378432164236,2.5089351432763505e-05,38.67334088738281,1.056617418694312,0.00010408870248426951
0.5,13.825553138295465,0.22981838769545254,3.654508844694821e-05,47.536213478743775,1.1142820163749048,0.00012519446924302255
0.841,18.69398699745053,0.24051130330188097,4.86435293826755e-05,56.894573445864744,1.1661247802706436,0.00014677768210914492
