,secosw1,sesinw1,k1,per2,secosw2,sesinw2,k2,dvdt,gamma_apf,jit_apf,gamma_hires_j,jit_hires_j,lnprobability
0.159,-0.8532772233984915,-0.6903149854473577,3.970530271653895,342.51824469621016,-0.4112530609463304,-0.4390227202898327,4.194338372901097,-0.006034961352469844,1.990516144179133,5.16402464090403,1.9580146457630268,3.2577774333460012,-708.0258200692484
0.5,-0.766506263151159,-0.5109596642409933,5.6349067631015135,351.3372087019601,-0.27736487041974967,-0.1682029529540873,4.90425311156425,-0.003595348735497918,3.902061902997006,5.960121618259041,3.3482228372574028,3.702682079532896,-704.9460975856621
0.841,-0.6404179394473364,-0.3247230098657479,7.438483592901042,363.02760381488974,-0.06810597719936168,0.17135951876849007,5.654857653866959,-0.0010840044767630214,5.705401910127088,6.747404051746083,4.658180608117029,4.221799914175032,-702.6085911308152
