,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.2409839070747606,3.252962347828978,0.5717548328646198,1.8623283259494634,3.6534696142389587,0.2023844000028253,-0.007710112499738676,0.8783515509977958,3.4728965934580156,-220.97623381971468
0.5,2.8296646442467184,3.8507796170118773,1.153902508032655,2.508920820310788,4.334223666770082,0.5989729949723558,-0.005382366817361102,1.784289409286207,3.788931715312629,-218.53520735139483
0.841,3.406561584430535,4.4623157665244335,1.766525097482293,3.1421632515625633,4.997038539645659,1.1395006344617191,-0.0030670400428788364,2.6917494729005607,4.148096613282417,-216.8005019967885
