# Column descriptions
        # utctime - UTC
        # observation_id - CPS internal ID
        # instrument - Instrument
        # bjd - BJD_TDB
        # svalue - Ca_HK S value
        # svalue_err - Ca_HK S value uncertainty
        # snr - signal to noise per pixel near the CaH line
        utctime,observation_id,instrument,bjd,svalue,svalue_err,snr
2021-07-12 09:55:52+00:00,j420.583,hires_j,2459407.920302,0.0,0.001,0.0
2021-07-13 11:07:05+00:00,j420.763,hires_j,2459408.968778,0.1521,0.001,20.62
2021-07-14 11:07:04+00:00,j420.864,hires_j,2459409.970635,0.1539,0.001,18.0
2021-07-17 11:05:42+00:00,j421.276,hires_j,2459412.968705,0.1542,0.001,20.04
2021-07-18 11:16:02+00:00,j421.373,hires_j,2459413.976338,0.1394,0.001,14.06
2021-07-19 11:29:35+00:00,j421.564,hires_j,2459414.985267,0.141,0.001,11.95
2021-08-09 06:39:59+00:00,j424.77,hires_j,2459435.78273,0.1554,0.001,21.54
2021-08-15 09:25:25+00:00,j425.171,hires_j,2459441.899104,0.1604,0.001,20.0
2021-08-18 10:13:24+00:00,j426.288,hires_j,2459444.931223,0.158,0.001,19.74
2021-08-22 08:37:06+00:00,j427.79,hires_j,2459448.867838,0.1563,0.001,16.95
2021-08-23 07:16:44+00:00,j427.282,hires_j,2459449.808129,0.1598,0.001,21.04
2021-08-24 07:39:45+00:00,j427.477,hires_j,2459450.825377,0.1448,0.001,20.75
2021-08-25 08:45:12+00:00,j427.692,hires_j,2459451.871131,0.1652,0.001,19.71
2021-08-26 07:23:39+00:00,j427.877,hires_j,2459452.813264,0.1581,0.001,21.07
2021-08-29 07:01:22+00:00,j428.86,hires_j,2459455.797555,0.1641,0.001,21.3
2021-08-30 07:43:04+00:00,j428.288,hires_j,2459456.827037,0.1673,0.001,21.24
2021-09-12 06:45:18+00:00,j429.76,hires_j,2459469.787068,0.1604,0.001,20.44
2021-09-13 06:40:10+00:00,j429.178,hires_j,2459470.782907,0.1623,0.001,20.78
2021-09-15 06:18:37+00:00,j429.478,hires_j,2459472.768141,0.1483,0.001,20.88
2021-09-18 06:27:28+00:00,j429.871,hires_j,2459475.776022,0.1581,0.001,17.25
2021-09-19 06:22:13+00:00,j429.974,hires_j,2459476.771341,0.1597,0.001,20.14
2021-09-21 07:02:59+00:00,j430.82,hires_j,2459478.799935,0.1648,0.001,19.67
2021-09-25 06:39:42+00:00,j431.271,hires_j,2459482.78447,0.1629,0.001,19.81
2021-09-26 06:32:41+00:00,j431.466,hires_j,2459483.77971,0.1588,0.001,18.95
2021-09-27 06:09:32+00:00,j431.569,hires_j,2459484.762254,0.1554,0.001,20.63
2021-10-02 06:26:33+00:00,j432.75,hires_j,2459489.775451,0.1475,0.001,19.02
2021-10-10 05:09:29+00:00,j433.72,hires_j,2459497.722342,0.1585,0.001,13.8
2021-10-11 05:37:53+00:00,j433.134,hires_j,2459498.741797,0.1624,0.001,16.76
2021-10-15 06:26:20+00:00,j434.69,hires_j,2459502.775559,0.1572,0.001,18.79
2021-10-16 06:17:29+00:00,j434.273,hires_j,2459503.769368,0.1497,0.001,16.23
2021-10-17 06:23:57+00:00,j434.367,hires_j,2459504.774067,0.1666,0.001,17.1
2021-10-19 05:13:43+00:00,j435.77,hires_j,2459506.725006,0.1676,0.001,19.31
2021-10-21 05:14:26+00:00,j436.76,hires_j,2459508.724811,0.1642,0.001,19.59
2021-10-26 05:40:14+00:00,j438.74,hires_j,2459513.743706,0.1223,0.001,18.57
2021-10-29 04:56:11+00:00,j439.70,hires_j,2459516.712344,0.1641,0.001,20.07
2022-02-11 14:50:39+00:00,j450.95,hires_j,2459622.127076,0.1579,0.001,19.84
2022-02-15 14:49:42+00:00,j451.148,hires_j,2459626.126462,0.1516,0.001,19.7
2022-02-21 14:34:09+00:00,j452.145,hires_j,2459632.115179,0.1643,0.001,20.12
