time,mnvel,errvel
2019-04-26 05:48:22.795,2.68900772954914,1.30542314052582
2019-05-07 06:21:15.265,0.750113903614201,1.42249596118927
2019-05-14 06:12:28.032,-2.25196420778237,1.42997860908508
2019-05-19 05:56:11.988,1.88110524816307,1.23087596893311
2019-05-20 06:07:55.514,-3.28472164806967,1.40891480445862
2019-05-24 06:11:25.815,-6.80593458597951,1.55851531028748
2019-05-25 06:01:44.468,-12.264252300855,1.45807945728302
2019-05-29 06:11:20.000,-6.07810010166071,1.44679284095764
2019-05-30 07:05:10.338,-11.0176547673554,1.73662626743317
2019-06-11 05:53:52.649,-6.27284399136646,1.34267604351044
2019-06-12 05:59:17.803,-6.65239546931117,1.25511384010315
2019-06-13 06:18:17.000,4.34854209231311,1.28853988647461
2019-06-16 06:24:42.061,-4.67941336850869,1.67125129699707
2019-06-17 06:28:06.563,3.38156352517528,1.65247249603271
2019-06-25 06:06:58.149,-6.62458785970643,1.71270775794983
2019-06-26 06:00:08.276,4.01346115614042,1.82708406448364
2019-07-01 06:14:29.223,8.6061275416539,1.70992159843445
2019-10-20 14:58:16.137,-6.69166809169622,1.80314207077026
2019-10-31 15:02:01.489,-7.60983497909703,1.44515061378479
2019-11-07 13:41:22.878,-3.6804087312855,1.59911727905273
2019-11-08 13:52:09.333,4.57843402987066,1.46860635280609
2019-11-09 14:47:28.091,3.91519541939383,1.78795146942139
2019-11-10 14:51:48.622,-3.00102993560347,1.46441793441772
2019-12-10 11:31:19.844,1.14724182295527,1.34478735923767
2019-12-15 12:07:41.994,0.686529140263985,1.38781774044037
2019-12-28 10:20:50.429,-0.946079071841979,1.32385194301605
2020-01-04 11:27:35.106,-6.98202606709668,1.31428456306458
2020-01-07 09:57:34.654,-3.72769432247719,1.70327496528625
2020-01-09 09:45:34.003,-8.26533300988666,1.44543397426605
2020-01-21 09:34:17.060,-0.579329112023316,1.20463371276855
2020-01-22 09:44:07.056,2.56499827496603,1.4133425951004
2020-01-30 09:40:41.150,-2.36032140178398,1.35886538028717
2020-01-31 09:21:32.833,0.8999798609035,1.38500213623047
2020-02-01 09:47:11.497,-0.0430054871950318,1.34617733955383
2020-02-01 15:08:38.000,-9.82322674331034,1.67697989940643
2020-02-05 09:56:29.419,-3.67809673536296,1.2739577293396
2020-02-05 13:26:07.638,-6.83909364111647,1.32711577415466
2020-02-06 08:08:50.151,-3.05214746886517,1.36848330497742
2020-02-24 09:31:38.323,-2.42763120522172,1.29652202129364
2020-02-25 07:00:09.467,-0.488911101383085,1.34534251689911
2020-02-26 09:14:11.228,-0.45414066669607,1.23429822921753
2020-02-27 07:10:41.094,-0.261955375685709,1.2222306728363
2020-02-27 10:35:48.933,-3.83424779945614,1.30601894855499
2020-02-28 10:01:49.537,-5.34355537165721,1.36275613307953
2020-03-10 11:53:17.019,-2.06920969981421,1.36822879314423
2020-05-26 07:01:43.609,-3.6913533202246,1.30277252197266
2020-05-30 07:20:55.254,3.69241369906336,1.26952528953552
2020-06-02 06:06:04.973,5.47342919414666,1.18990898132324
2020-06-03 06:14:47.770,4.83522345659497,1.15741860866547
2020-06-06 05:56:51.589,-0.177997083001458,1.16550242900848
2020-06-07 06:13:09.485,6.94166579750378,1.31743240356445
2020-06-10 05:52:21.820,5.43884181979127,1.10172581672668
2020-06-11 05:55:04.021,1.12461407041537,1.10549080371857
2020-06-12 06:05:57.157,-8.44313110496887,1.42688703536987
2020-06-13 05:58:33.514,-7.33561667970445,1.11590445041656
2020-06-16 06:36:09.514,-8.07304614913794,1.19761204719543
2020-06-29 06:03:14.505,0.899125855336381,1.36274993419647
2020-06-30 06:00:09.064,1.96562049599691,1.31237733364105
2020-07-01 06:04:24.668,5.74419725912934,1.48922419548035
2020-10-20 15:04:42.640,-3.8711725976209,1.49566042423248
2020-10-31 13:55:24.133,-4.49444705769145,1.34646356105804
2020-11-28 12:24:37.784,2.2174377249259,1.36644613742828
2020-12-04 12:48:28.688,-4.87674885786265,1.24881827831268
2020-12-24 11:57:37.981,-2.07773817872601,1.22437465190887
2020-12-25 11:06:50.825,-1.39997777162262,1.357874751091
2020-12-26 11:48:15.969,-0.927912299509529,1.40852642059326
2020-12-28 12:11:38.833,-6.60291483760966,1.45646226406097
2020-12-31 12:43:59.741,-2.59892780744866,1.26646673679352
2021-01-18 08:59:41.209,2.93031690001845,1.43535172939301
2021-01-23 10:05:12.614,2.08643759912103,1.69274747371674
2021-02-22 06:39:45.180,-5.50444291029829,1.3483247756958
2021-02-22 07:27:47.119,-4.36929263714855,1.31772816181183
2021-02-23 06:33:30.385,-2.65886518698622,1.30886566638947
2021-02-23 07:32:21.349,-2.05868741166569,1.32186329364777
2021-02-23 08:23:21.349,-2.21994990739701,1.23275792598724
2021-02-23 09:35:25.283,0.885869171936282,1.27249252796173
2021-02-23 10:30:44.219,-0.29331121282479,1.32026219367981
2021-02-23 11:40:43.215,1.41202445410987,1.27925336360931
2021-02-23 12:46:46.167,-3.80182620370433,1.64921009540558
2021-02-24 06:37:38.465,1.19225737871673,1.37082207202911
2021-02-24 07:31:02.402,-1.36236729778691,1.22953307628632
2021-02-24 08:26:15.375,2.77507860604717,1.23760139942169
2021-02-24 09:23:10.296,0.262461791709029,1.36064922809601
2021-03-22 12:11:25.337,-3.43612750125436,1.47185564041138
2021-03-23 12:17:23.599,-0.902768074493196,1.41079044342041
2021-04-09 11:42:57.943,0.891744769838946,1.31323266029358
2021-05-24 08:21:54.650,-4.58066131353272,1.30337476730347
2021-05-27 06:51:23.054,4.37996156755113,1.19385123252869
