,secosw1,sesinw1,k1,secosw2,sesinw2,k2,secosw3,sesinw3,k3,secosw4,sesinw4,k4,secosw5,sesinw5,k5,dvdt,gamma_j,jit_j,lnprobability
0.159,-0.46863217142912583,-0.10304147745929335,3.145347039076513,-0.02754554836735094,-0.23453956302187773,3.005228103232393,-0.14451084726686583,-0.6626803836295787,0.8574545647390553,-0.5475946381342499,-0.5595867484901398,2.97689148919856,-0.12410717196674799,-0.39382286582879744,3.8665737834615075,-0.007122224149285853,0.9452618636856727,2.8070504210022214,-204.79003294432715
0.5,-0.4359897419436695,-0.0007743961433726671,3.7421418844033933,0.16611037771893075,0.03006037588912012,3.560162115914288,0.14290668664240536,-0.2555534069688203,1.5405952596385353,-0.4712849147401029,-0.38065963793445207,3.5900985137639108,-0.010626106984097865,-0.17138328497501085,4.501116732049205,-0.00505601295057061,1.7764038278967642,3.1252912099566776,-201.046217546284
0.841,-0.36835950152114577,0.07487900633010615,4.33099118677113,0.3168380335793696,0.27908508765023127,4.098446741869978,0.2912887474544043,0.3085243565139046,2.2337783533718167,-0.38568558920965745,-0.10614488168186323,4.241005150172072,0.13870333546085808,0.09789383866678739,5.162598827705339,-0.0029518106718536244,2.579110081092689,3.4714057575216777,-197.85729551483553
