rjd	vrad	svrad	fwhm	sig_fwhm	bis_span	sig_bis_span	contrast	sig_contrast	s_mw	sig_s	ha	sig_ha	na	sig_na	ca	sig_ca	rhk	sig_rhk	prot_m08	sig_prot_m08	prot_n84	sig_prot_n84	berv
---	----	-----	----	--------	--------	------------	--------	------------	----	-----	--	------	--	------	--	------	---	-------	--------	------------	--------	------------	----
53016.65392646007	48840.511762	1.533292	6358.192811	8.991843	13.327236	2.168403	49.672560	0.000001	0.424624	0.009979	0.331580	0.001871	0.122868	0.000797	0.336910	0.004352	-4.745993	0.010652	undefined	6.116600	undefined	6.546797	-9.926464
53037.60650097998	48821.471767	2.167129	6414.442121	9.071391	44.140840	3.064784	49.311723	0.000001	0.507795	0.016439	0.349901	0.002541	0.123730	0.001073	0.395827	0.006732	-4.665207	0.014570	undefined	6.116600	undefined	5.523905	-15.289588
53050.54178838013	48836.163649	3.595241	6362.408501	8.997804	17.944958	5.084439	49.374684	0.000001	0.540500	0.030403	0.334955	0.003777	0.122699	0.001644	0.437772	0.011557	-4.637146	0.025261	undefined	6.116600	undefined	5.151128	-17.516301
53319.826254639775	48818.351007	0.934438	6361.574140	8.996624	24.320007	1.321495	49.561263	0.000001	0.461720	0.004652	0.339069	0.001262	0.122057	0.000519	0.357230	0.002380	-4.708094	0.004551	undefined	6.116600	undefined	6.078159	10.100832
53764.59691401012	48843.896372	1.199528	6343.417350	8.970947	31.988187	1.696389	49.414886	0.000001	0.426180	0.006585	0.322192	0.001565	0.121805	0.000657	0.330111	0.003153	-4.744335	0.007002	undefined	6.116600	undefined	6.526773	-14.487055
53765.5951526002	48837.548869	1.199496	6343.376514	8.970889	23.770219	1.696343	49.484603	0.000001	0.438556	0.006591	0.318412	0.001545	0.121688	0.000658	0.340782	0.003191	-4.731369	0.006803	undefined	6.116600	undefined	6.368624	-14.713938
53781.65226970008	48840.238046	1.178462	6376.896315	9.018293	17.407376	1.666597	49.289569	0.000001	0.467650	0.006652	0.313119	0.001479	0.119483	0.000632	0.365194	0.003261	-4.702331	0.006422	undefined	6.116600	undefined	6.005024	-17.822620
53789.59380505001	48840.694947	1.440573	6355.832732	8.988505	25.581231	2.037278	49.379765	0.000001	0.445480	0.008873	0.334251	0.001845	0.125639	0.000785	0.341268	0.004048	-4.724280	0.009011	undefined	6.116600	undefined	6.281027	-18.700088
53832.5102493898	48824.333752	1.348022	6327.415202	8.948316	19.447884	1.906392	49.502724	0.000001	0.418087	0.008339	0.323962	0.001682	0.123080	0.000719	0.323255	0.003793	-4.753028	0.009048	undefined	6.116600	undefined	6.631245	-17.550777
53833.53732004017	48826.223937	1.533520	6330.759861	8.953046	25.156933	2.168725	49.521749	0.000001	0.396506	0.010121	0.327426	0.001913	0.121630	0.000809	0.309575	0.004391	-4.777097	0.011606	undefined	6.116600	undefined	6.913671	-17.440382
54122.6294690799	48832.128669	1.183511	6382.511944	9.026235	27.786906	1.673737	49.171937	0.000001	0.475139	0.006384	0.339370	0.001550	0.123999	0.000639	0.371494	0.003167	-4.695160	0.006062	undefined	6.116600	undefined	5.913396	-12.772916
54140.57616655016	48822.344341	1.396486	6331.705582	8.954384	18.322687	1.974929	49.452706	0.000001	0.430835	0.008301	0.327122	0.001767	0.122128	0.000743	0.343197	0.003849	-4.739412	0.008728	undefined	6.116600	undefined	6.467050	-16.649974
54174.54822853999	48826.806160	1.785502	6350.136629	8.980449	18.778410	2.525081	49.236666	0.000001	0.440268	0.012605	0.326238	0.002067	0.123420	0.000896	0.344942	0.005332	-4.729605	0.012958	undefined	6.116600	undefined	6.346906	-19.472947
54384.87473123986	48813.415811	3.489858	6381.205701	9.024388	37.700221	4.935404	48.665729	0.000001	0.507073	0.028005	0.353694	0.003684	0.131372	0.001600	0.410485	0.010655	-4.665847	0.024858	undefined	6.116600	undefined	5.532329	16.978030
54431.724848790094	48827.126972	1.547488	6419.046218	9.077902	22.018761	2.188478	49.013008	0.000001	0.505834	0.009293	0.354206	0.002004	0.126486	0.000823	0.381828	0.004270	-4.666949	0.008270	undefined	6.116600	undefined	5.546821	5.274681
