rjd	vrad	svrad	fwhm	sig_fwhm	bis_span	sig_bis_span	contrast	sig_contrast	s_mw	sig_s	ha	sig_ha	na	sig_na	ca	sig_ca	rhk	sig_rhk	prot_m08	sig_prot_m08	prot_n84	sig_prot_n84	berv
58762.89288379997	48835.076819	1.005678	6389.246031	9.035758	37.000886	1.422243	49.085804	0.000001	0.435973	0.003277	0.340168	0.001218	0.130925	0.000463	0.338837	0.001903	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.645172
58763.808875060175	48838.437046	1.045434	6393.641974	9.041975	35.476130	1.478467	49.072300	0.000001	0.434687	0.003602	0.343295	0.001263	0.130928	0.000480	0.335955	0.002051	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.707952
58763.894991210196	48835.803660	0.991415	6398.316991	9.048587	36.249184	1.402072	49.019065	0.000001	0.445992	0.002928	0.343654	0.001228	0.131759	0.000461	0.344266	0.001745	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.506792
58764.796745140105	48835.557008	0.909096	6399.257428	9.049917	41.411821	1.285657	49.022577	0.000001	0.445661	0.002720	0.341839	0.000964	0.130017	0.000369	0.344630	0.001645	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.596589
58764.896762520075	48834.421259	0.997558	6398.274909	9.048527	39.718122	1.410759	48.981877	0.000001	0.441138	0.003152	0.342860	0.001216	0.130869	0.000457	0.342215	0.001854	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.364203
58765.75622193981	48834.707503	1.147771	6396.924791	9.046618	42.745141	1.623194	49.052316	0.000001	0.426603	0.004713	0.341097	0.001396	0.130969	0.000541	0.333074	0.002531	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.533454
58765.88784989016	48832.742109	1.166070	6401.348489	9.052874	43.631253	1.649072	49.033338	0.000001	0.434315	0.004325	0.340459	0.001545	0.131505	0.000581	0.337495	0.002365	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.242514
58766.7790005398	48830.765774	0.918603	6399.656222	9.050481	43.084503	1.299100	49.051172	0.000001	0.437962	0.002674	0.338889	0.000993	0.130339	0.000380	0.337361	0.001618	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.344482
58766.872998970095	48828.972574	0.961388	6401.635857	9.053280	39.700555	1.359608	49.048470	0.000001	0.439876	0.002804	0.342207	0.001160	0.131792	0.000432	0.340798	0.001683	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.130452
58773.79853243986	48832.032617	1.072565	6391.554272	9.039023	41.353509	1.516836	49.081974	0.000001	0.421742	0.004089	0.338153	0.001298	0.130681	0.000498	0.327559	0.002252	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.139362
58773.866475880146	48835.775577	1.036465	6392.262063	9.040024	45.657360	1.465783	49.098063	0.000001	0.428947	0.003678	0.342775	0.001261	0.131268	0.000481	0.331571	0.002075	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.975333
58774.73419554997	48831.879793	0.927207	6387.385358	9.033127	44.422729	1.311268	49.119467	0.000001	0.423586	0.003019	0.342508	0.001015	0.130725	0.000388	0.329471	0.001774	0.000000	0.000001	undefined	0.000001	undefined	0.000001	16.088462
58774.856794610154	48838.313488	0.996731	6387.639954	9.033487	44.377682	1.409590	49.118637	0.000001	0.429109	0.003380	0.341047	0.001193	0.129908	0.000453	0.332015	0.001942	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.812775
58775.76821974013	48831.663612	1.148813	6383.125565	9.027103	38.063018	1.624667	49.141526	0.000001	0.412533	0.004330	0.339696	0.001437	0.130312	0.000547	0.327736	0.002367	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.831243
58775.85549280979	48834.040111	1.361671	6379.179667	9.021522	40.495991	1.925693	49.163807	0.000001	0.380029	0.006278	0.338089	0.001729	0.129730	0.000667	0.295382	0.003096	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.624760
58776.783376549836	48823.188263	1.695553	6376.490938	9.017720	41.546199	2.397873	49.181927	0.000001	0.379507	0.009895	0.342464	0.002176	0.133947	0.000859	0.301513	0.004459	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.602685
58776.88076583017	48825.859081	1.667103	6365.315963	9.001916	36.267045	2.357639	49.204236	0.000001	0.368709	0.010011	0.338458	0.002135	0.132944	0.000840	0.287708	0.004506	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.366379
58777.73604110023	48823.190097	1.425967	6368.340037	9.006193	38.865005	2.016622	49.215317	0.000001	0.369876	0.007287	0.332992	0.001784	0.129858	0.000700	0.290959	0.003484	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.503140
58777.88298144983	48823.529770	1.851490	6364.086327	9.000177	32.062762	2.618403	49.232448	0.000001	0.342756	0.011744	0.335220	0.002287	0.130575	0.000903	0.266642	0.005059	0.000000	0.000001	undefined	0.000001	undefined	0.000001	15.159868
