,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.2769672075799736,3.2347180891259115,0.6209914741211838,2.0100608033432743,3.5105202241921356,9.145151262511042e-09,-0.007402897110716273,0.7455510179896883,3.4869992653216184,-221.18321045502952
0.5,2.8723710969375187,3.8601545472744725,1.2128791283901372,2.6517255870507808,4.213423481154694,7.011755302965743e-05,-0.005045281263097053,1.6630887772581588,3.815599624583857,-218.7160574696278
0.841,3.4772867090306,4.478427847767981,1.835198346013409,3.2849272507032317,4.902350815166032,0.0815692116841071,-0.0026668641482097254,2.5682925284033686,4.189479864376483,-216.94950470058117
