,k1,k2,k3,k4,k5,k6,dvdt,gamma_j,jit_j,lnprobability
0.159,2.2546886182266506,3.2553729802960043,0.631258272865823,2.098017620263408,3.4726971691720454,0.1749077451619186,-0.007318213532851381,0.7410538148518488,3.480192416880862,-221.14942723811447
0.5,2.8442621613980346,3.8790149386939254,1.2253573915546,2.7189178164765497,4.143807584756108,0.5493737446643745,-0.005044330700572149,1.6079929973832543,3.801915550180009,-218.70224005459923
0.841,3.434995476516556,4.492000625947023,1.8444811244794062,3.351216781692534,4.812180041261818,1.088370627316281,-0.0027838401020746453,2.4729472722555257,4.159529769032256,-216.97480065120766
